ReactionTime Block1;Stimuli Onset Time Block1;Stimuli Offset Time Block1;Fixation Cross Onset Time Block1;Fixation Cross Offset Time Block1;Blank Screen Onset Time Block1;Blank Screen Offset Time Block1;Feedback Onset Time Block1;Feedback Offset Time Block1;Stimuli On Screen Time Block1;Presented Condition Block1;Answers Block1;Answer Codes Block1;Distractor Modality Block1;;;;;Congruent_reaktionstid;Congruent_accuracy;Incongruent_reaktionstid;Incongruent_accuracy;Neutral_reaktionstid;neutral_accuracy;;audio_visual_reaktionstid;audio_visual_accuracy;visual_reaktionstid;visual_accuracy;audio_reaktionstid;audio_accuracy
1,959671;74,93944;75,1394;73,93961;74,93944;75,1394;80,13857;80,13857;80,63848;0,1999664;Congruent;Incorrect;2;audio;;;;;1,959671;Incorrect;0;0;0;0;;0;0;0;0;1,959671;Incorrect
2,839523;81,65831;81,85828;80,65848;81,65831;81,85828;86,85744;86,85744;87,35735;0,1999664;Neutral;Correct;1;visual;;;;;0;0;0;0;2,839523;Correct;;0;0;2,839523;Correct;0;0
2,999496;88,37718;88,57715;87,37735;88,37718;88,57715;93,57631;93,57631;94,07623;0,1999664;Incongruent;Incorrect;2;audio;;;;;0;0;2,999496;Incorrect;0;0;;0;0;0;0;2,999496;Incorrect
2,79953;95,09605;95,29602;94,09622;95,09605;95,29602;100,2952;100,2952;100,7951;0,1999664;Congruent;Correct;1;audio;;;;;2,79953;Correct;0;0;0;0;;0;0;0;0;2,79953;Correct
2,79953;101,8149;102,0149;100,8151;101,8149;102,0149;107,0141;107,0141;107,514;0,1999664;Incongruent;Incorrect;2;audio visual;;;;;0;0;2,79953;Incorrect;0;0;;2,79953;Incorrect;0;0;0;0
5,079147;108,5338;108,7338;107,534;108,5338;108,7338;113,7329;113,7329;114,2328;0,1999664;Incongruent;Incorrect;2;audio;;;;;0;0;5,079147;Incorrect;0;0;;0;0;0;0;5,079147;Incorrect
0;115,2527;115,4526;114,2528;115,2527;115,4526;120,4518;120,4518;120,9517;0,1999664;Congruent;None;0;visual;;;;;0;None;0;0;0;0;;0;0;0;None;0;0
2,49958;121,9715;122,1715;120,9717;121,9715;122,1715;127,1707;127,1707;127,6706;0,1999664;Neutral;Correct;1;audio visual;;;;;0;0;0;0;2,49958;Correct;;2,49958;Correct;0;0;0;0
2,320496;128,6907;128,8907;127,6906;128,6907;128,8907;133,8918;133,8918;134,3919;0,2000427;Congruent;Incorrect;2;audio visual;;;;;2,320496;Incorrect;0;0;0;0;;2,320496;Incorrect;0;0;0;0
2,220474;135,4121;135,6122;134,4119;135,4121;135,6122;140,6132;140,6132;141,1133;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;2,220474;Correct;;2,220474;Correct;0;0;0;0
1,760376;142,1335;142,3336;141,1333;142,1335;142,3336;147,3347;147,3347;147,8348;0,2000427;Incongruent;Incorrect;2;visual;;;;;0;0;1,760376;Incorrect;0;0;;0;0;1,760376;Incorrect;0;0
2,460526;148,855;149,055;147,8548;148,855;149,055;154,0561;154,0561;154,5562;0,2000427;Neutral;Correct;1;visual;;;;;0;0;0;0;2,460526;Correct;;0;0;2,460526;Correct;0;0
1,900406;155,5764;155,7765;154,5762;155,5764;155,7765;160,7775;160,7775;161,2776;0,2000427;Congruent;Correct;1;audio;;;;;1,900406;Correct;0;0;0;0;;0;0;0;0;1,900406;Correct
1,560333;162,2979;162,4979;161,2976;162,2979;162,4979;167,499;167,499;167,9991;0,2000427;Congruent;Correct;1;visual;;;;;1,560333;Correct;0;0;0;0;;0;0;1,560333;Correct;0;0
2,240479;169,0193;169,2193;168,0191;169,0193;169,2193;174,2204;174,2204;174,7205;0,2000427;Incongruent;Correct;1;audio visual;;;;;0;0;2,240479;Correct;0;0;;2,240479;Correct;0;0;0;0
2,600555;175,7407;175,9408;174,7405;175,7407;175,9408;180,9418;180,9418;181,4419;0,2000427;Congruent;Correct;1;visual;;;;;2,600555;Correct;0;0;0;0;;0;0;2,600555;Correct;0;0
1,660355;182,4622;182,6622;181,4619;182,4622;182,6622;187,6633;187,6633;188,1634;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;1,660355;Correct;;1,660355;Correct;0;0;0;0
3,740799;189,1836;189,3836;188,1834;189,1836;189,3836;194,3847;194,3847;194,8848;0,2000427;Neutral;Incorrect;2;visual;;;;;0;0;0;0;3,740799;Incorrect;;0;0;3,740799;Incorrect;0;0
2,560547;195,905;196,1051;194,9048;195,905;196,1051;201,1061;201,1061;201,6062;0,2000427;Congruent;Correct;1;visual;;;;;2,560547;Correct;0;0;0;0;;0;0;2,560547;Correct;0;0
0;202,6265;202,8265;201,6263;202,6265;202,8265;207,8276;207,8276;208,3277;0,2000427;Incongruent;None;0;visual;;;;;0;0;0;None;0;0;;0;0;0;None;0;0
2,320496;209,3479;209,5479;208,3477;209,3479;209,5479;214,549;214,549;215,0491;0,2000427;Incongruent;Correct;1;audio;;;;;0;0;2,320496;Correct;0;0;;0;0;0;0;2,320496;Correct
1,92041;216,0693;216,2694;215,0691;216,0693;216,2694;221,2704;221,2704;221,7706;0,2000427;Incongruent;Correct;1;audio visual;;;;;0;0;1,92041;Correct;0;0;;1,92041;Correct;0;0;0;0
2,940628;222,7908;222,9908;221,7906;222,7908;222,9908;227,9919;227,9919;228,492;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;2,940628;Correct;;2,940628;Correct;0;0;0;0
0;229,5122;229,7122;228,512;229,5122;229,7122;234,7133;234,7133;235,2134;0,2000427;Neutral;None;0;audio;;;;;0;0;0;0;0;None;;0;0;0;0;0;None
2,300491;236,2336;236,4337;235,2334;236,2336;236,4337;241,4348;241,4348;241,9349;0,2000427;Neutral;Correct;1;audio;;;;;0;0;0;0;2,300491;Correct;;0;0;0;0;2,300491;Correct
